timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2020-09-22,67393.16306800,68399.09007400,66977.69820000,68120.25893400,10417.22000000,10572.71000000,10353.00000000,10529.61000000,43991.23547600,43991.23547600
2020-09-21,70647.65943200,71091.33088400,66611.20669000,67393.16306800,10920.28000000,10988.86000000,10296.35000000,10417.22000000,70683.43117900,70683.43117900
2020-09-20,71685.09241600,71685.09241600,69371.37620000,70647.65943200,11080.64000000,11080.64000000,10723.00000000,10920.28000000,39157.92256500,39157.92256500
2020-09-19,70732.53796000,72326.53342600,70434.75147800,71685.15711000,10933.40000000,11179.79000000,10887.37000000,11080.65000000,38440.03685800,38440.03685800
2020-09-18,70775.23600000,71409.43128200,69952.58709600,70732.47326600,10940.00000000,11038.03000000,10812.84000000,10933.39000000,47266.72827500,47266.72827500
2020-09-17,70865.87229400,71457.49892400,69519.07260200,70775.17130600,10954.01000000,11045.46000000,10745.83000000,10939.99000000,55601.61452900,55601.61452900
2020-09-16,69773.96696200,71765.05420000,68971.69666800,70865.87229400,10785.23000000,11093.00000000,10661.22000000,10954.01000000,64991.51244000,64991.51244000
2020-09-15,69039.94883800,70710.80077600,68617.56171200,69774.48451400,10671.77000000,10930.04000000,10606.48000000,10785.31000000,61822.45278600,61822.45278600
2020-09-14,66847.27509600,69546.05000000,66067.71239600,69039.94883800,10332.84000000,10750.00000000,10212.34000000,10671.77000000,67059.29136100,67059.29136100
2020-09-13,67544.87049800,68446.96363400,65987.88000000,66847.21040200,10440.67000000,10580.11000000,10200.00000000,10332.83000000,43837.60986500,43837.60986500
2020-09-12,67203.41556600,67786.17911800,66435.88595000,67546.48784800,10387.89000000,10477.97000000,10269.25000000,10440.92000000,35379.15309600,35379.15309600
2020-09-11,66873.28208400,67266.23344000,65987.88000000,67203.41556600,10336.86000000,10397.60000000,10200.00000000,10387.89000000,43830.25446700,43830.25446700
2020-09-10,66112.67472600,67820.98449000,65152.22760200,66873.34677800,10219.29000000,10483.35000000,10070.83000000,10336.87000000,58253.75375000,58253.75375000
